Transaction Date;Purchase Order No.;Item Code;Description;Contact Name;Price;Qty;Disc Amount;Tax Amount;Amount;Sub Total;Grand Total;Location Name
25 Mei 2026;PO-000006636;#3070TP;Topi Baseball Anak KOI;MY STAR;31510;20;0;0;630200;12604000;12604000;Pusat
25 Mei 2026;PO-000006636;#2133TP;Topi Baseball Anak KOI;MY STAR;31510;60;0;0;1890600;12604000;12604000;Pusat
25 Mei 2026;PO-000006636;#2134TP;Topi Baseball Anak KOI;MY STAR;31510;60;0;0;1890600;12604000;12604000;Pusat
25 Mei 2026;PO-000006636;#2135TP;Topi Baseball Anak KOI;MY STAR;31510;60;0;0;1890600;12604000;12604000;Pusat
25 Mei 2026;PO-000006636;#8498TP;Topi Baseball Anak KOI;MY STAR;31510;60;0;0;1890600;12604000;12604000;Pusat
25 Mei 2026;PO-000006636;#3072TP;Topi Baseball Anak KOI;MY STAR;31510;70;0;0;2205700;12604000;12604000;Pusat
25 Mei 2026;PO-000006636;#2136TP;Topi Baseball Anak KOI;MY STAR;31510;70;0;0;2205700;12604000;12604000;Pusat
25 Mei 2026;PO/Benka/264/5703;123568KSS;Kidsmate Tshirt Pop Rib Oversize;benka;31000;44;0;0;1364000;79577000;79577000;Pusat
25 Mei 2026;PO/Benka/264/5703;123567KSS;Kidsmate Tshirt Pop Rib Oversize;benka;31000;44;0;0;1364000;79577000;79577000;Pusat
25 Mei 2026;PO/Benka/264/5703;123566KSS;Kidsmate Tshirt Pop Rib Oversize;benka;31000;44;0;0;1364000;79577000;79577000;Pusat
25 Mei 2026;PO/Benka/264/5703;123565KSS;Kidsmate Tshirt Pop Rib Oversize;benka;31000;88;0;0;2728000;79577000;79577000;Pusat
25 Mei 2026;PO/Benka/264/5703;123564KSS;Kidsmate Tshirt Pop Rib Oversize;benka;31000;87;0;0;2697000;79577000;79577000;Pusat
25 Mei 2026;PO/Benka/264/5703;123563KSS;Kidsmate Tshirt Pop Rib Oversize;benka;31000;116;0;0;3596000;79577000;79577000;Pusat
25 Mei 2026;PO/Benka/264/5703;123562KSS;Kidsmate Tshirt Pop Rib Oversize;benka;31000;44;0;0;1364000;79577000;79577000;Pusat
25 Mei 2026;PO/Benka/264/5703;123561KSS;Kidsmate Tshirt Pop Rib Oversize;benka;31000;44;0;0;1364000;79577000;79577000;Pusat
25 Mei 2026;PO/Benka/264/5703;123560KSS;Kidsmate Tshirt Pop Rib Oversize;benka;31000;44;0;0;1364000;79577000;79577000;Pusat
25 Mei 2026;PO/Benka/264/5703;123559KSS;Kidsmate Tshirt Pop Rib Oversize;benka;31000;88;0;0;2728000;79577000;79577000;Pusat
25 Mei 2026;PO/Benka/264/5703;123558KSS;Kidsmate Tshirt Pop Rib Oversize;benka;31000;88;0;0;2728000;79577000;79577000;Pusat
25 Mei 2026;PO/Benka/264/5703;123557KSS;Kidsmate Tshirt Pop Rib Oversize;benka;31000;109;0;0;3379000;79577000;79577000;Pusat
25 Mei 2026;PO/Benka/264/5703;123556KSS;Kidsmate Tshirt Pop Rib Oversize;benka;31000;44;0;0;1364000;79577000;79577000;Pusat
25 Mei 2026;PO/Benka/264/5703;123555KSS;Kidsmate Tshirt Pop Rib Oversize;benka;31000;44;0;0;1364000;79577000;79577000;Pusat
