textBox36,textBox33,textBox35,textBox34,textBox30,textBox29,textBox32,textBox31,textBox37
27 May 2026,GJ-1435015,INV-001159237,TOTAL,"64.749,00","64.749,00","22.750,00","0,00",5-5000 - Harga Pokok Penjualan (COGS)
27 May 2026,GJ-1435015,INV-001159237,TOTAL,"64.749,00","64.749,00","0,00","22.750,00",1-1200 - Persediaan Barang
27 May 2026,GJ-1435015,INV-001159237,TOTAL,"64.749,00","64.749,00","0,00","41.999,00",4-4000 - Penjualan
27 May 2026,GJ-1435015,INV-001159237,TOTAL,"64.749,00","64.749,00","41.499,00","0,00",1-1100 - Piutang Usaha
27 May 2026,GJ-1435015,INV-001159237,TOTAL,"64.749,00","64.749,00","500,00","0,00",4-4001 - Diskon Penjualan
27 May 2026,GJ-1432746,INV-001158226,TOTAL,"114.603,62","114.603,62","39.004,62","0,00",5-5000 - Harga Pokok Penjualan (COGS)
27 May 2026,GJ-1432746,INV-001158226,TOTAL,"114.603,62","114.603,62","0,00","39.004,62",1-1200 - Persediaan Barang
27 May 2026,GJ-1432746,INV-001158226,TOTAL,"114.603,62","114.603,62","0,00","75.599,00",4-4000 - Penjualan
27 May 2026,GJ-1432746,INV-001158226,TOTAL,"114.603,62","114.603,62","66.047,00","0,00",1-1100 - Piutang Usaha
27 May 2026,GJ-1432746,INV-001158226,TOTAL,"114.603,62","114.603,62","9.552,00","0,00",4-4001 - Diskon Penjualan
27 May 2026,GJ-1432582,INV-001158075,TOTAL,"82.750,00","82.750,00","22.750,00","0,00",5-5000 - Harga Pokok Penjualan (COGS)
27 May 2026,GJ-1432582,INV-001158075,TOTAL,"82.750,00","82.750,00","0,00","22.750,00",1-1200 - Persediaan Barang
27 May 2026,GJ-1432582,INV-001158075,TOTAL,"82.750,00","82.750,00","0,00","60.000,00",4-4000 - Penjualan
27 May 2026,GJ-1432582,INV-001158075,TOTAL,"82.750,00","82.750,00","31.353,00","0,00",1-1100 - Piutang Usaha
27 May 2026,GJ-1432582,INV-001158075,TOTAL,"82.750,00","82.750,00","21.186,00","0,00",4-4001 - Diskon Penjualan
27 May 2026,GJ-1432582,INV-001158075,TOTAL,"82.750,00","82.750,00","6.211,00","0,00",8-8035 - Biaya Layanan
27 May 2026,GJ-1432582,INV-001158075,TOTAL,"82.750,00","82.750,00","1.250,00","0,00",6-6598 - Biaya Proses Pesanan
27 May 2026,GJ-1432745,INV-001158227,TOTAL,"62.749,00","62.749,00","22.750,00","0,00",5-5000 - Harga Pokok Penjualan (COGS)
27 May 2026,GJ-1432745,INV-001158227,TOTAL,"62.749,00","62.749,00","0,00","22.750,00",1-1200 - Persediaan Barang
27 May 2026,GJ-1432745,INV-001158227,TOTAL,"62.749,00","62.749,00","0,00","39.999,00",4-4000 - Penjualan
27 May 2026,GJ-1432745,INV-001158227,TOTAL,"62.749,00","62.749,00","39.499,00","0,00",1-1100 - Piutang Usaha
27 May 2026,GJ-1432745,INV-001158227,TOTAL,"62.749,00","62.749,00","500,00","0,00",4-4001 - Diskon Penjualan
27 May 2026,GJ-1432832,INV-001158300,TOTAL,"160.827,62","160.827,62","40.827,62","0,00",5-5000 - Harga Pokok Penjualan (COGS)
27 May 2026,GJ-1432832,INV-001158300,TOTAL,"160.827,62","160.827,62","0,00","40.827,62",1-1200 - Persediaan Barang
27 May 2026,GJ-1432832,INV-001158300,TOTAL,"160.827,62","160.827,62","0,00","120.000,00",4-4000 - Penjualan
27 May 2026,GJ-1432832,INV-001158300,TOTAL,"160.827,62","160.827,62","64.436,00","0,00",1-1100 - Piutang Usaha
27 May 2026,GJ-1432832,INV-001158300,TOTAL,"160.827,62","160.827,62","40.802,00","0,00",4-4001 - Diskon Penjualan
27 May 2026,GJ-1432832,INV-001158300,TOTAL,"160.827,62","160.827,62","1.000,00","0,00",4-4002 - Diskon Lainnya
27 May 2026,GJ-1432832,INV-001158300,TOTAL,"160.827,62","160.827,62","12.512,00","0,00",8-8035 - Biaya Layanan
