textBox36,textBox33,textBox35,textBox34,textBox30,textBox29,textBox32,textBox31,textBox37
30 Apr 2026,GJ-1399131,INV-001133169,TOTAL,"176.212,10","176.212,10","50.212,10","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1399131,INV-001133169,TOTAL,"176.212,10","176.212,10","0,00","50.212,10",1-1200 - Persediaan Barang
30 Apr 2026,GJ-1399131,INV-001133169,TOTAL,"176.212,10","176.212,10","0,00","126.000,00",4-4000 - Penjualan
30 Apr 2026,GJ-1399131,INV-001133169,TOTAL,"176.212,10","176.212,10","73.928,00","0,00",1-1100 - Piutang Usaha
30 Apr 2026,GJ-1399131,INV-001133169,TOTAL,"176.212,10","176.212,10","36.002,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1399131,INV-001133169,TOTAL,"176.212,10","176.212,10","500,00","0,00",4-4002 - Diskon Lainnya
30 Apr 2026,GJ-1399131,INV-001133169,TOTAL,"176.212,10","176.212,10","14.320,00","0,00",8-8035 - Biaya Layanan
30 Apr 2026,GJ-1399131,INV-001133169,TOTAL,"176.212,10","176.212,10","1.250,00","0,00",6-6598 - Biaya Proses Pesanan
30 Apr 2026,GJ-1398833,INV-001132939,TOTAL,"109.150,58","109.150,58","29.150,58","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1398833,INV-001132939,TOTAL,"109.150,58","109.150,58","0,00","29.150,58",1-1200 - Persediaan Barang
30 Apr 2026,GJ-1398833,INV-001132939,TOTAL,"109.150,58","109.150,58","0,00","80.000,00",4-4000 - Penjualan
30 Apr 2026,GJ-1398833,INV-001132939,TOTAL,"109.150,58","109.150,58","50.829,00","0,00",1-1100 - Piutang Usaha
30 Apr 2026,GJ-1398833,INV-001132939,TOTAL,"109.150,58","109.150,58","18.001,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1398833,INV-001132939,TOTAL,"109.150,58","109.150,58","9.920,00","0,00",8-8035 - Biaya Layanan
30 Apr 2026,GJ-1398833,INV-001132939,TOTAL,"109.150,58","109.150,58","1.250,00","0,00",6-6598 - Biaya Proses Pesanan
30 Apr 2026,GJ-1398834,INV-001132940,TOTAL,"108.860,00","108.860,00","28.860,00","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1398834,INV-001132940,TOTAL,"108.860,00","108.860,00","0,00","28.860,00",1-1200 - Persediaan Barang
30 Apr 2026,GJ-1398834,INV-001132940,TOTAL,"108.860,00","108.860,00","0,00","80.000,00",4-4000 - Penjualan
30 Apr 2026,GJ-1398834,INV-001132940,TOTAL,"108.860,00","108.860,00","44.205,00","0,00",1-1100 - Piutang Usaha
30 Apr 2026,GJ-1398834,INV-001132940,TOTAL,"108.860,00","108.860,00","25.386,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1398834,INV-001132940,TOTAL,"108.860,00","108.860,00","500,00","0,00",4-4002 - Diskon Lainnya
30 Apr 2026,GJ-1398834,INV-001132940,TOTAL,"108.860,00","108.860,00","8.659,00","0,00",8-8035 - Biaya Layanan
30 Apr 2026,GJ-1398834,INV-001132940,TOTAL,"108.860,00","108.860,00","1.250,00","0,00",6-6598 - Biaya Proses Pesanan
30 Apr 2026,GJ-1402568,INV-001135584,TOTAL,"260.279,99","260.279,99","86.282,99","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1402568,INV-001135584,TOTAL,"260.279,99","260.279,99","0,00","86.282,99",1-1200 - Persediaan Barang
30 Apr 2026,GJ-1402568,INV-001135584,TOTAL,"260.279,99","260.279,99","0,00","173.997,00",4-4000 - Penjualan
30 Apr 2026,GJ-1402568,INV-001135584,TOTAL,"260.279,99","260.279,99","165.717,00","0,00",1-1100 - Piutang Usaha
30 Apr 2026,GJ-1402568,INV-001135584,TOTAL,"260.279,99","260.279,99","8.280,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1399130,INV-001133168,TOTAL,"112.980,53","112.980,53","32.980,53","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1399130,INV-001133168,TOTAL,"112.980,53","112.980,53","0,00","32.980,53",1-1200 - Persediaan Barang
30 Apr 2026,GJ-1399130,INV-001133168,TOTAL,"112.980,53","112.980,53","0,00","80.000,00",4-4000 - Penjualan
30 Apr 2026,GJ-1399130,INV-001133168,TOTAL,"112.980,53","112.980,53","45.729,00","0,00",1-1100 - Piutang Usaha
30 Apr 2026,GJ-1399130,INV-001133168,TOTAL,"112.980,53","112.980,53","26.001,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1399130,INV-001133168,TOTAL,"112.980,53","112.980,53","7.020,00","0,00",8-8035 - Biaya Layanan
30 Apr 2026,GJ-1399130,INV-001133168,TOTAL,"112.980,53","112.980,53","1.250,00","0,00",6-6598 - Biaya Proses Pesanan
30 Apr 2026,GJ-1398835,INV-001132941,TOTAL,"260.000,00","260.000,00","60.000,00","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1398835,INV-001132941,TOTAL,"260.000,00","260.000,00","0,00","60.000,00",1-1200 - Persediaan Barang
30 Apr 2026,GJ-1398835,INV-001132941,TOTAL,"260.000,00","260.000,00","0,00","200.000,00",4-4000 - Penjualan
30 Apr 2026,GJ-1398835,INV-001132941,TOTAL,"260.000,00","260.000,00","101.967,00","0,00",1-1100 - Piutang Usaha
30 Apr 2026,GJ-1398835,INV-001132941,TOTAL,"260.000,00","260.000,00","76.622,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1398835,INV-001132941,TOTAL,"260.000,00","260.000,00","500,00","0,00",4-4002 - Diskon Lainnya
30 Apr 2026,GJ-1398835,INV-001132941,TOTAL,"260.000,00","260.000,00","19.661,00","0,00",8-8035 - Biaya Layanan
30 Apr 2026,GJ-1398835,INV-001132941,TOTAL,"260.000,00","260.000,00","1.250,00","0,00",6-6598 - Biaya Proses Pesanan
30 Apr 2026,GJ-1399132,INV-001133170,TOTAL,"59.999,00","59.999,00","20.000,00","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1399132,INV-001133170,TOTAL,"59.999,00","59.999,00","0,00","20.000,00",1-1200 - Persediaan Barang
30 Apr 2026,GJ-1399132,INV-001133170,TOTAL,"59.999,00","59.999,00","0,00","39.999,00",4-4000 - Penjualan
30 Apr 2026,GJ-1399132,INV-001133170,TOTAL,"59.999,00","59.999,00","38.109,00","0,00",1-1100 - Piutang Usaha
30 Apr 2026,GJ-1399132,INV-001133170,TOTAL,"59.999,00","59.999,00","1.890,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1399133,INV-001133171,TOTAL,"73.991,62","73.991,62","23.991,62","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1399133,INV-001133171,TOTAL,"73.991,62","73.991,62","0,00","23.991,62",1-1200 - Persediaan Barang
30 Apr 2026,GJ-1399133,INV-001133171,TOTAL,"73.991,62","73.991,62","0,00","50.000,00",4-4000 - Penjualan
30 Apr 2026,GJ-1399133,INV-001133171,TOTAL,"73.991,62","73.991,62","34.449,00","0,00",1-1100 - Piutang Usaha
30 Apr 2026,GJ-1399133,INV-001133171,TOTAL,"73.991,62","73.991,62","7.001,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1399133,INV-001133171,TOTAL,"73.991,62","73.991,62","500,00","0,00",4-4002 - Diskon Lainnya
30 Apr 2026,GJ-1399133,INV-001133171,TOTAL,"73.991,62","73.991,62","6.800,00","0,00",8-8035 - Biaya Layanan
