textBox36,textBox33,textBox35,textBox34,textBox30,textBox29,textBox32,textBox31,textBox37
31 May 2026,GJ-1439287,INV-001162070,TOTAL,"120.832,10","120.832,10","40.834,10","0,00",5-5000 - Harga Pokok Penjualan (COGS)
31 May 2026,GJ-1439287,INV-001162070,TOTAL,"120.832,10","120.832,10","0,00","40.834,10",1-1200 - Persediaan Barang
31 May 2026,GJ-1439287,INV-001162070,TOTAL,"120.832,10","120.832,10","0,00","79.998,00",4-4000 - Penjualan
31 May 2026,GJ-1439287,INV-001162070,TOTAL,"120.832,10","120.832,10","76.718,00","0,00",1-1100 - Piutang Usaha
31 May 2026,GJ-1439287,INV-001162070,TOTAL,"120.832,10","120.832,10","3.280,00","0,00",4-4001 - Diskon Penjualan
31 May 2026,GJ-1439580,INV-001162341,TOTAL,"62.749,00","62.749,00","22.750,00","0,00",5-5000 - Harga Pokok Penjualan (COGS)
31 May 2026,GJ-1439580,INV-001162341,TOTAL,"62.749,00","62.749,00","0,00","22.750,00",1-1200 - Persediaan Barang
31 May 2026,GJ-1439580,INV-001162341,TOTAL,"62.749,00","62.749,00","0,00","39.999,00",4-4000 - Penjualan
31 May 2026,GJ-1439580,INV-001162341,TOTAL,"62.749,00","62.749,00","39.499,00","0,00",1-1100 - Piutang Usaha
31 May 2026,GJ-1439580,INV-001162341,TOTAL,"62.749,00","62.749,00","500,00","0,00",4-4001 - Diskon Penjualan
31 May 2026,GJ-1441414,INV-001163830,TOTAL,"124.000,00","124.000,00","35.000,00","0,00",5-5000 - Harga Pokok Penjualan (COGS)
31 May 2026,GJ-1441414,INV-001163830,TOTAL,"124.000,00","124.000,00","0,00","35.000,00",1-1200 - Persediaan Barang
31 May 2026,GJ-1441414,INV-001163830,TOTAL,"124.000,00","124.000,00","0,00","89.000,00",4-4000 - Penjualan
31 May 2026,GJ-1441414,INV-001163830,TOTAL,"124.000,00","124.000,00","54.256,00","0,00",1-1100 - Piutang Usaha
31 May 2026,GJ-1441414,INV-001163830,TOTAL,"124.000,00","124.000,00","22.581,00","0,00",4-4001 - Diskon Penjualan
31 May 2026,GJ-1441414,INV-001163830,TOTAL,"124.000,00","124.000,00","500,00","0,00",4-4002 - Diskon Lainnya
31 May 2026,GJ-1441414,INV-001163830,TOTAL,"124.000,00","124.000,00","10.413,00","0,00",8-8035 - Biaya Layanan
31 May 2026,GJ-1441414,INV-001163830,TOTAL,"124.000,00","124.000,00","1.250,00","0,00",6-6598 - Biaya Proses Pesanan
31 May 2026,GJ-1439700,INV-001162461,TOTAL,"82.750,00","82.750,00","22.750,00","0,00",5-5000 - Harga Pokok Penjualan (COGS)
31 May 2026,GJ-1439700,INV-001162461,TOTAL,"82.750,00","82.750,00","0,00","22.750,00",1-1200 - Persediaan Barang
31 May 2026,GJ-1439700,INV-001162461,TOTAL,"82.750,00","82.750,00","0,00","60.000,00",4-4000 - Penjualan
31 May 2026,GJ-1439700,INV-001162461,TOTAL,"82.750,00","82.750,00","32.563,00","0,00",1-1100 - Piutang Usaha
31 May 2026,GJ-1439700,INV-001162461,TOTAL,"82.750,00","82.750,00","19.246,00","0,00",4-4001 - Diskon Penjualan
31 May 2026,GJ-1439700,INV-001162461,TOTAL,"82.750,00","82.750,00","500,00","0,00",4-4002 - Diskon Lainnya
31 May 2026,GJ-1439700,INV-001162461,TOTAL,"82.750,00","82.750,00","6.441,00","0,00",8-8035 - Biaya Layanan
31 May 2026,GJ-1439700,INV-001162461,TOTAL,"82.750,00","82.750,00","1.250,00","0,00",6-6598 - Biaya Proses Pesanan
31 May 2026,GJ-1439433,INV-001162213,TOTAL,"62.749,00","62.749,00","22.750,00","0,00",5-5000 - Harga Pokok Penjualan (COGS)
31 May 2026,GJ-1439433,INV-001162213,TOTAL,"62.749,00","62.749,00","0,00","22.750,00",1-1200 - Persediaan Barang
31 May 2026,GJ-1439433,INV-001162213,TOTAL,"62.749,00","62.749,00","0,00","39.999,00",4-4000 - Penjualan
31 May 2026,GJ-1439433,INV-001162213,TOTAL,"62.749,00","62.749,00","39.499,00","0,00",1-1100 - Piutang Usaha
