Item ID,Item Group ID,Name,SKU,Category Name,Variation,Description,Package Weight,Package Width,Package Height,Package Length,Sell Price,Image 1,Image 2,Image 3,Image 4,Image 5,Stock
298,55," Kidsmate Pocky Brown Kaos Anak Kidsmate","117762","Kemeja Anak Laki Laki","S (1-2T)","Kidsmate Pocky brown Kaos Anak

T-shirt berbahan cotton combed
Series pocket stripe
Super gantengg
Simple tapi kelihatann mahal mak
Walaupun hargannya super hemat

Bahan cotton combed
Menyerap keringat ngga kaleng kaleng

Foto real pic seperti produk asli

Size chart :
S (1-2T) LD 30 PJ 39
M (3-4T) LD 32 PJ 42
L (5-6T) LD 35 PJ 44
XL (7-8T) LD 37 PJ 46
XXL (8-9T) LD 39 PJ 50
XXXL (9-10T) LD 40 PJ 53

LD : Lebar Dada, lingkar di kali 2
PJ : Panjang
mohon cek size chart Sebelum check out
karena usia hanya perkiraan
untuk toleransi size 2-3cm ya",125,1,1,1,33999,https://assets-alpha.ass8c.upcloudobjects.com/pgylh9mwsjia2dtzbo8t1w/images/9bcb49f54cdcca970b32b465c61e3ec4.jpg,https://assets-alpha.ass8c.upcloudobjects.com/pgylh9mwsjia2dtzbo8t1w/images/f021374be02d0e7a3372febb8cdda378.jpg,https://assets-alpha.ass8c.upcloudobjects.com/pgylh9mwsjia2dtzbo8t1w/images/cc3d4c784adaa4ed22ad52fbf85acdaf.jpg,https://assets-alpha.ass8c.upcloudobjects.com/pgylh9mwsjia2dtzbo8t1w/images/50e7b159afd574b31b19ea09b81dd87e.jpg,,0
299,55," Kidsmate Pocky Brown Kaos Anak Kidsmate","117763","Kemeja Anak Laki Laki","M (3-4T)","Kidsmate Pocky brown Kaos Anak

T-shirt berbahan cotton combed
Series pocket stripe
Super gantengg
Simple tapi kelihatann mahal mak
Walaupun hargannya super hemat

Bahan cotton combed
Menyerap keringat ngga kaleng kaleng

Foto real pic seperti produk asli

Size chart :
S (1-2T) LD 30 PJ 39
M (3-4T) LD 32 PJ 42
L (5-6T) LD 35 PJ 44
XL (7-8T) LD 37 PJ 46
XXL (8-9T) LD 39 PJ 50
XXXL (9-10T) LD 40 PJ 53

LD : Lebar Dada, lingkar di kali 2
PJ : Panjang
mohon cek size chart Sebelum check out
karena usia hanya perkiraan
untuk toleransi size 2-3cm ya",125,1,1,1,34999,https://assets-alpha.ass8c.upcloudobjects.com/pgylh9mwsjia2dtzbo8t1w/images/9bcb49f54cdcca970b32b465c61e3ec4.jpg,https://assets-alpha.ass8c.upcloudobjects.com/pgylh9mwsjia2dtzbo8t1w/images/f021374be02d0e7a3372febb8cdda378.jpg,https://assets-alpha.ass8c.upcloudobjects.com/pgylh9mwsjia2dtzbo8t1w/images/cc3d4c784adaa4ed22ad52fbf85acdaf.jpg,https://assets-alpha.ass8c.upcloudobjects.com/pgylh9mwsjia2dtzbo8t1w/images/50e7b159afd574b31b19ea09b81dd87e.jpg,,0
300,55," Kidsmate Pocky Brown Kaos Anak Kidsmate","117764","Kemeja Anak Laki Laki","L (5-6T)","Kidsmate Pocky brown Kaos Anak

T-shirt berbahan cotton combed
Series pocket stripe
Super gantengg
Simple tapi kelihatann mahal mak
Walaupun hargannya super hemat

Bahan cotton combed
Menyerap keringat ngga kaleng kaleng

Foto real pic seperti produk asli

Size chart :
S (1-2T) LD 30 PJ 39
M (3-4T) LD 32 PJ 42
L (5-6T) LD 35 PJ 44
XL (7-8T) LD 37 PJ 46
XXL (8-9T) LD 39 PJ 50
XXXL (9-10T) LD 40 PJ 53

LD : Lebar Dada, lingkar di kali 2
PJ : Panjang
mohon cek size chart Sebelum check out
karena usia hanya perkiraan
untuk toleransi size 2-3cm ya",125,1,1,1,35999,https://assets-alpha.ass8c.upcloudobjects.com/pgylh9mwsjia2dtzbo8t1w/images/9bcb49f54cdcca970b32b465c61e3ec4.jpg,https://assets-alpha.ass8c.upcloudobjects.com/pgylh9mwsjia2dtzbo8t1w/images/f021374be02d0e7a3372febb8cdda378.jpg,https://assets-alpha.ass8c.upcloudobjects.com/pgylh9mwsjia2dtzbo8t1w/images/cc3d4c784adaa4ed22ad52fbf85acdaf.jpg,https://assets-alpha.ass8c.upcloudobjects.com/pgylh9mwsjia2dtzbo8t1w/images/50e7b159afd574b31b19ea09b81dd87e.jpg,,0
301,55," Kidsmate Pocky Brown Kaos Anak Kidsmate","117765","Kemeja Anak Laki Laki","XL (7-8T)","Kidsmate Pocky brown Kaos Anak

T-shirt berbahan cotton combed
Series pocket stripe
Super gantengg
Simple tapi kelihatann mahal mak
Walaupun hargannya super hemat

Bahan cotton combed
Menyerap keringat ngga kaleng kaleng

Foto real pic seperti produk asli

Size chart :
S (1-2T) LD 30 PJ 39
M (3-4T) LD 32 PJ 42
L (5-6T) LD 35 PJ 44
XL (7-8T) LD 37 PJ 46
XXL (8-9T) LD 39 PJ 50
XXXL (9-10T) LD 40 PJ 53

LD : Lebar Dada, lingkar di kali 2
PJ : Panjang
mohon cek size chart Sebelum check out
karena usia hanya perkiraan
untuk toleransi size 2-3cm ya",125,1,1,1,37999,https://assets-alpha.ass8c.upcloudobjects.com/pgylh9mwsjia2dtzbo8t1w/images/9bcb49f54cdcca970b32b465c61e3ec4.jpg,https://assets-alpha.ass8c.upcloudobjects.com/pgylh9mwsjia2dtzbo8t1w/images/f021374be02d0e7a3372febb8cdda378.jpg,https://assets-alpha.ass8c.upcloudobjects.com/pgylh9mwsjia2dtzbo8t1w/images/cc3d4c784adaa4ed22ad52fbf85acdaf.jpg,https://assets-alpha.ass8c.upcloudobjects.com/pgylh9mwsjia2dtzbo8t1w/images/50e7b159afd574b31b19ea09b81dd87e.jpg,,0
302,55," Kidsmate Pocky Brown Kaos Anak Kidsmate","117766","Kemeja Anak Laki Laki","XXL (8-9T)","Kidsmate Pocky brown Kaos Anak

T-shirt berbahan cotton combed
Series pocket stripe
Super gantengg
Simple tapi kelihatann mahal mak
Walaupun hargannya super hemat

Bahan cotton combed
Menyerap keringat ngga kaleng kaleng

Foto real pic seperti produk asli

Size chart :
S (1-2T) LD 30 PJ 39
M (3-4T) LD 32 PJ 42
L (5-6T) LD 35 PJ 44
XL (7-8T) LD 37 PJ 46
XXL (8-9T) LD 39 PJ 50
XXXL (9-10T) LD 40 PJ 53

LD : Lebar Dada, lingkar di kali 2
PJ : Panjang
mohon cek size chart Sebelum check out
karena usia hanya perkiraan
untuk toleransi size 2-3cm ya",125,1,1,1,38999,https://assets-alpha.ass8c.upcloudobjects.com/pgylh9mwsjia2dtzbo8t1w/images/9bcb49f54cdcca970b32b465c61e3ec4.jpg,https://assets-alpha.ass8c.upcloudobjects.com/pgylh9mwsjia2dtzbo8t1w/images/f021374be02d0e7a3372febb8cdda378.jpg,https://assets-alpha.ass8c.upcloudobjects.com/pgylh9mwsjia2dtzbo8t1w/images/cc3d4c784adaa4ed22ad52fbf85acdaf.jpg,https://assets-alpha.ass8c.upcloudobjects.com/pgylh9mwsjia2dtzbo8t1w/images/50e7b159afd574b31b19ea09b81dd87e.jpg,,0
303,55," Kidsmate Pocky Brown Kaos Anak Kidsmate","117767","Kemeja Anak Laki Laki","XXXL (9-10T)","Kidsmate Pocky brown Kaos Anak

T-shirt berbahan cotton combed
Series pocket stripe
Super gantengg
Simple tapi kelihatann mahal mak
Walaupun hargannya super hemat

Bahan cotton combed
Menyerap keringat ngga kaleng kaleng

Foto real pic seperti produk asli

Size chart :
S (1-2T) LD 30 PJ 39
M (3-4T) LD 32 PJ 42
L (5-6T) LD 35 PJ 44
XL (7-8T) LD 37 PJ 46
XXL (8-9T) LD 39 PJ 50
XXXL (9-10T) LD 40 PJ 53

LD : Lebar Dada, lingkar di kali 2
PJ : Panjang
mohon cek size chart Sebelum check out
karena usia hanya perkiraan
untuk toleransi size 2-3cm ya",125,1,1,1,39999,https://assets-alpha.ass8c.upcloudobjects.com/pgylh9mwsjia2dtzbo8t1w/images/9bcb49f54cdcca970b32b465c61e3ec4.jpg,https://assets-alpha.ass8c.upcloudobjects.com/pgylh9mwsjia2dtzbo8t1w/images/f021374be02d0e7a3372febb8cdda378.jpg,https://assets-alpha.ass8c.upcloudobjects.com/pgylh9mwsjia2dtzbo8t1w/images/cc3d4c784adaa4ed22ad52fbf85acdaf.jpg,https://assets-alpha.ass8c.upcloudobjects.com/pgylh9mwsjia2dtzbo8t1w/images/50e7b159afd574b31b19ea09b81dd87e.jpg,,0
47339,31579,"#ATASAN ADIDAS TEE KOI","#8942TL","Atasan Bayi","Kuning, 3Y","#Atasan Anak Belva KOI AADSADASD",100,0,0,0,59999,https://file-service.3smqg.upcloudobjects.com/pgylh9mwsjia2dtzbo8t1w/images/whatsapp_image_2026-05-11_at_115746.jpeg,,,,,2
47340,31579,"#ATASAN ADIDAS TEE KOI","#8943TL","Atasan Bayi","Kuning, 5Y","#Atasan Anak Belva KOI AADSADASD",100,0,0,0,59999,https://file-service.3smqg.upcloudobjects.com/pgylh9mwsjia2dtzbo8t1w/images/whatsapp_image_2026-05-11_at_115746.jpeg,,,,,3
47341,31579,"#ATASAN ADIDAS TEE KOI","#8944TL","Atasan Bayi","Kuning, 7Y","#Atasan Anak Belva KOI AADSADASD",100,0,0,0,59999,https://file-service.3smqg.upcloudobjects.com/pgylh9mwsjia2dtzbo8t1w/images/whatsapp_image_2026-05-11_at_115746.jpeg,,,,,3
47342,31579,"#ATASAN ADIDAS TEE KOI","#8945TL","Atasan Bayi","Kuning, 9Y","#Atasan Anak Belva KOI AADSADASD",100,0,0,0,59999,https://file-service.3smqg.upcloudobjects.com/pgylh9mwsjia2dtzbo8t1w/images/whatsapp_image_2026-05-11_at_115746.jpeg,,,,,3
